DataReferencia,Media,Mediana,Minimo,Maximo,numeroRespondentes,cumsum_mediana,periodo,num_indice
2022-10-31,0.3788,0.3800,0.1150,0.6438,119.0000,0.3800,6.0000,100.0759
2022-11-30,0.3871,0.3950,0.0980,0.7500,119.0000,0.7750,30.0000,100.4712
2022-12-31,0.6705,0.6750,0.1105,1.1000,119.0000,1.4500,31.0000,101.1720
2023-01-31,0.5675,0.5400,0.2072,1.2941,115.0000,1.9900,31.0000,101.7366
2023-02-28,0.6149,0.6140,0.1800,0.9821,115.0000,2.6040,28.0000,102.3195
2023-03-31,0.4425,0.4250,0.1200,1.0428,115.0000,3.0290,31.0000,102.7689
2023-04-30,0.4423,0.4400,0.1750,0.8460,115.0000,3.4690,30.0000,103.2211
2023-05-31,0.3353,0.3400,0.1400,0.5950,115.0000,3.8090,31.0000,103.5838
2023-06-30,0.3161,0.3100,-0.0200,0.5500,115.0000,4.1190,30.0000,103.9049
2023-07-31,0.2839,0.2800,-0.1346,0.5100,115.0000,4.3990,31.0000,104.2055
2023-08-31,0.2305,0.2300,-0.0437,0.4100,115.0000,4.6290,31.0000,104.4532
2023-09-30,0.3126,0.3000,-0.0310,1.1656,115.0000,4.9290,30.0000,104.7666
2023-10-31,0.3849,0.4000,0.0593,0.5980,115.0000,5.3290,31.0000,105.1996
2023-11-30,0.3594,0.3700,-0.0290,0.5500,115.0000,5.6990,30.0000,105.5889
2023-12-31,0.5260,0.5241,0.0654,1.0185,115.0000,6.2231,31.0000,106.1608
2024-01-31,0.4069,0.4000,0.1016,0.6600,83.0000,6.6231,31.0000,106.5996
2024-02-29,0.4244,0.4200,0.2150,0.7420,83.0000,7.0431,29.0000,107.0323
2024-03-31,0.3306,0.3000,0.1500,0.9009,81.0000,7.3431,31.0000,107.3642
2024-04-30,0.3211,0.3075,0.1900,0.7500,80.5000,7.6506,30.0000,107.6943
2024-05-31,0.2435,0.2311,-0.1000,0.5100,79.5000,7.8817,31.0000,107.9514
2024-06-30,0.2189,0.2117,0.0200,0.5100,79.5000,8.0934,30.0000,108.1800
2024-07-31,0.1855,0.2025,-0.2700,0.4000,79.5000,8.2959,31.0000,108.4063
2024-08-31,0.1620,0.1600,-0.1350,0.4000,76.5000,8.4559,31.0000,108.5856
2024-09-30,0.2394,0.2291,-0.0600,0.9195,72.5000,8.6850,30.0000,108.8344
2024-10-31,0.2985,0.3000,0.1400,0.5800,50.5000,8.9850,31.0000,109.1718
