,Indicador,Data,DataReferencia,Media,Mediana,Minimo,Maximo,numeroRespondentes
0,IPCA,2022-08-19,08/2024,0.1459,0.16,-0.3326,0.32,50
1,IPCA,2022-08-19,08/2024,0.151,0.16,-0.3326,0.41,58
2,IPCA Livres,2022-08-19,08/2024,0.1667,0.18,-0.126,0.35,29
3,IPCA Livres,2022-08-19,08/2024,0.1629,0.175,-0.126,0.35,32
4,IPCA Serviços,2022-08-19,08/2024,0.1899,0.21,-0.247,0.5,25
5,IPCA Serviços,2022-08-19,08/2024,0.1903,0.205,-0.247,0.5,26
6,IPCA Bens industrializados,2022-08-19,08/2024,0.2144,0.2,0.03,0.37,25
7,IPCA Bens industrializados,2022-08-19,08/2024,0.2135,0.2,0.03,0.37,26
8,IPCA Alimentação no domicílio,2022-08-19,08/2024,-0.0208,0.0,-0.76,0.5,25
9,IPCA Alimentação no domicílio,2022-08-19,08/2024,-0.0277,0.0,-0.76,0.5,26
10,IPCA Administrados,2022-08-19,08/2024,0.2654,0.27,0.06,0.5,29
11,IPCA Administrados,2022-08-19,08/2024,0.2508,0.26,-0.2,0.5,33
12,IPCA,2022-08-19,07/2024,0.2045,0.22,0.007,0.55,61
13,IPCA,2022-08-19,07/2024,0.2014,0.205,-0.05,0.55,88
14,Câmbio,2022-08-19,07/2024,5.1001,5.11,4.0,5.83,39
15,Câmbio,2022-08-19,07/2024,5.1192,5.12,4.0,5.83,57
16,IPCA Livres,2022-08-19,07/2024,0.2047,0.2,-0.06,0.5,36
17,IPCA Livres,2022-08-19,07/2024,0.213,0.2,-0.06,0.52,45
18,IPCA Serviços,2022-08-19,07/2024,0.345,0.3,0.15,0.7,29
19,IPCA Serviços,2022-08-19,07/2024,0.365,0.32,0.15,0.7,33
20,IPCA Bens industrializados,2022-08-19,07/2024,0.1532,0.11,-0.16,0.51,31
21,IPCA Bens industrializados,2022-08-19,07/2024,0.1519,0.105,-0.22,0.51,36
22,IPCA Alimentação no domicílio,2022-08-19,07/2024,0.0401,0.06,-0.8,0.57,30
23,IPCA Alimentação no domicílio,2022-08-19,07/2024,0.0572,0.04,-0.8,1.22,35
24,IPCA Administrados,2022-08-19,07/2024,0.3365,0.35,-0.134,0.65,34
25,IPCA Administrados,2022-08-19,07/2024,0.3299,0.35,-0.3,0.65,44
26,IPCA,2022-08-19,06/2024,0.231,0.21,0.0305,0.55,65
27,IPCA,2022-08-19,06/2024,0.2213,0.21,0.0305,0.55,93
28,Câmbio,2022-08-19,06/2024,5.1085,5.105,4.0,5.82,52
29,Câmbio,2022-08-19,06/2024,5.1314,5.125,4.0,5.82,82
30,IPCA Livres,2022-08-19,06/2024,0.2347,0.21,0.05,0.5,36
31,IPCA Livres,2022-08-19,06/2024,0.236,0.21,0.023,0.5,45
32,IPCA Serviços,2022-08-19,06/2024,0.3258,0.3,0.07,0.71,31
33,IPCA Serviços,2022-08-19,06/2024,0.3348,0.3,0.07,0.71,35
34,IPCA Bens industrializados,2022-08-19,06/2024,0.2308,0.2,-0.06,0.7,31
35,IPCA Bens industrializados,2022-08-19,06/2024,0.2296,0.2,-0.06,0.7,36
36,IPCA Alimentação no domicílio,2022-08-19,06/2024,0.1321,0.2,-0.408,0.5,31
37,IPCA Alimentação no domicílio,2022-08-19,06/2024,0.1196,0.2,-0.408,0.5,36
38,IPCA Administrados,2022-08-19,06/2024,0.28,0.29,0.0,0.6,34
39,IPCA Administrados,2022-08-19,06/2024,0.3103,0.28,-0.18,1.28,44
40,IPCA,2022-08-19,05/2024,0.2569,0.25,-0.12,0.51,65
41,IPCA,2022-08-19,05/2024,0.2464,0.24,-0.12,0.51,93
42,Câmbio,2022-08-19,05/2024,5.1074,5.11,4.0,5.81,53
43,Câmbio,2022-08-19,05/2024,5.1326,5.11,4.0,5.81,83
44,IPCA Livres,2022-08-19,05/2024,0.1892,0.2,-0.16,0.5,36
45,IPCA Livres,2022-08-19,05/2024,0.1872,0.2,-0.16,0.5,45
46,IPCA Serviços,2022-08-19,05/2024,0.1717,0.2,-0.232,0.55,31
47,IPCA Serviços,2022-08-19,05/2024,0.1792,0.2,-0.232,0.55,35
48,IPCA Bens industrializados,2022-08-19,05/2024,0.2368,0.25,-0.28,0.7,31
49,IPCA Bens industrializados,2022-08-19,05/2024,0.2411,0.25,-0.28,0.7,36
50,IPCA Alimentação no domicílio,2022-08-19,05/2024,0.1713,0.23,-0.6,0.5,31
51,IPCA Alimentação no domicílio,2022-08-19,05/2024,0.1336,0.22,-0.72,0.5,36
52,IPCA Administrados,2022-08-19,05/2024,0.4849,0.397,-0.12,1.43,35
53,IPCA Administrados,2022-08-19,05/2024,0.4657,0.389,-0.12,1.43,45
54,IPCA,2022-08-19,04/2024,0.3196,0.31,0.17,0.6,65
55,IPCA,2022-08-19,04/2024,0.3222,0.31,0.17,0.69,94
56,Câmbio,2022-08-19,04/2024,5.1093,5.12,4.0,5.8,53
57,Câmbio,2022-08-19,04/2024,5.1347,5.13,4.0,5.8,83
58,IPCA Livres,2022-08-19,04/2024,0.3004,0.3,0.08,0.5,38
59,IPCA Livres,2022-08-19,04/2024,0.3185,0.3,0.08,0.8,47
60,IPCA Serviços,2022-08-19,04/2024,0.3191,0.3,0.09,0.65,31
61,IPCA Serviços,2022-08-19,04/2024,0.3181,0.3,0.09,0.65,35
62,IPCA Bens industrializados,2022-08-19,04/2024,0.2807,0.28,0.0,0.7,31
63,IPCA Bens industrializados,2022-08-19,04/2024,0.2737,0.28,0.0,0.7,36
64,IPCA Alimentação no domicílio,2022-08-19,04/2024,0.4487,0.44,-0.0649,1.0,31
65,IPCA Alimentação no domicílio,2022-08-19,04/2024,0.4748,0.475,-0.0649,1.0,36
66,IPCA Administrados,2022-08-19,04/2024,0.3844,0.365,-0.28,1.03,36
67,IPCA Administrados,2022-08-19,04/2024,0.4078,0.4,-0.28,1.03,46
68,IPCA,2022-08-19,03/2024,0.3238,0.3,0.14,0.62,65
69,IPCA,2022-08-19,03/2024,0.3328,0.3,0.14,0.9562,95
70,Câmbio,2022-08-19,03/2024,5.1096,5.13,4.0,5.79,53
71,Câmbio,2022-08-19,03/2024,5.1401,5.15,4.0,5.79,85
72,IPCA Livres,2022-08-19,03/2024,0.3133,0.3,0.14,0.5,38
73,IPCA Livres,2022-08-19,03/2024,0.3288,0.3,0.14,0.73,47
74,IPCA Serviços,2022-08-19,03/2024,0.2906,0.27,0.06,0.754,31
75,IPCA Serviços,2022-08-19,03/2024,0.2894,0.27,0.06,0.754,35
76,IPCA Bens industrializados,2022-08-19,03/2024,0.2914,0.3,0.05,0.7,31
77,IPCA Bens industrializados,2022-08-19,03/2024,0.2876,0.29,0.05,0.7,36
78,IPCA Alimentação no domicílio,2022-08-19,03/2024,0.5693,0.5,-0.32,1.36,31
79,IPCA Alimentação no domicílio,2022-08-19,03/2024,0.5705,0.5,-0.32,1.36,36
80,IPCA Administrados,2022-08-19,03/2024,0.426,0.35,0.0,1.18,36
81,IPCA Administrados,2022-08-19,03/2024,0.4067,0.35,-0.05,1.18,46
82,IPCA,2022-08-19,02/2024,0.4126,0.4,0.2,0.8,66
83,IPCA,2022-08-19,02/2024,0.4171,0.4,0.2,0.8,96
84,Câmbio,2022-08-19,02/2024,5.1084,5.15,4.0,5.78,53
85,Câmbio,2022-08-19,02/2024,5.1386,5.15,4.0,5.78,85
86,IPCA Livres,2022-08-19,02/2024,0.4515,0.49,0.25,0.65,38
87,IPCA Livres,2022-08-19,02/2024,0.4705,0.5,0.25,0.8,47
88,IPCA Serviços,2022-08-19,02/2024,0.6804,0.69,0.272,1.32,31
89,IPCA Serviços,2022-08-19,02/2024,0.6883,0.7,0.272,1.32,35
90,IPCA Bens industrializados,2022-08-19,02/2024,0.2992,0.27,-0.08,0.8,31
91,IPCA Bens industrializados,2022-08-19,02/2024,0.2932,0.26,-0.08,0.8,36
92,IPCA Alimentação no domicílio,2022-08-19,02/2024,0.3378,0.28,0.0,0.86,31
93,IPCA Alimentação no domicílio,2022-08-19,02/2024,0.3029,0.275,-0.27,0.86,36
94,IPCA Administrados,2022-08-19,02/2024,0.354,0.325,0.13,0.8,36
95,IPCA Administrados,2022-08-19,02/2024,0.3415,0.325,-0.02,0.8,46
96,IGP-M,2022-08-19,01/2024,0.4122,0.4,0.21,0.63,34
