,num_indice_selic,num_indice_ipca,dif_num_indice
2022-08-20,100.00,100.00,100.00
2022-08-21,100.04,99.99,100.04
2022-08-22,100.07,99.99,100.08
2022-08-23,100.11,99.98,100.13
2022-08-24,100.14,99.97,100.17
2022-08-25,100.18,99.97,100.21
2022-08-26,100.21,99.96,100.25
2022-08-27,100.25,99.95,100.29
2022-08-28,100.28,99.95,100.34
2022-08-29,100.32,99.94,100.38
2022-08-30,100.35,99.93,100.42
2022-08-31,100.39,99.93,100.46
2022-09-01,100.42,99.94,100.48
2022-09-02,100.46,99.96,100.50
2022-09-03,100.50,99.97,100.52
2022-09-04,100.53,99.99,100.54
2022-09-05,100.57,100.00,100.56
2022-09-06,100.60,100.02,100.58
2022-09-07,100.64,100.04,100.60
2022-09-08,100.67,100.05,100.62
2022-09-09,100.71,100.07,100.64
2022-09-10,100.74,100.08,100.66
2022-09-11,100.78,100.10,100.68
2022-09-12,100.82,100.11,100.70
2022-09-13,100.85,100.13,100.72
2022-09-14,100.89,100.14,100.74
2022-09-15,100.92,100.16,100.76
2022-09-16,100.96,100.17,100.78
2022-09-17,100.99,100.19,100.80
2022-09-18,101.03,100.20,100.82
2022-09-19,101.06,100.22,100.84
2022-09-20,101.10,100.24,100.86
2022-09-21,101.14,100.25,100.88
2022-09-22,101.17,100.27,100.91
2022-09-23,101.21,100.28,100.93
2022-09-24,101.24,100.30,100.95
2022-09-25,101.28,100.31,100.97
2022-09-26,101.31,100.33,100.99
2022-09-27,101.35,100.34,101.01
2022-09-28,101.39,100.36,101.03
2022-09-29,101.42,100.37,101.05
2022-09-30,101.46,100.39,101.07
2022-10-01,101.49,100.41,101.09
2022-10-02,101.53,100.43,101.10
2022-10-03,101.57,100.44,101.12
2022-10-04,101.60,100.46,101.14
2022-10-05,101.64,100.48,101.16
2022-10-06,101.67,100.50,101.17
2022-10-07,101.71,100.52,101.19
2022-10-08,101.74,100.53,101.21
2022-10-09,101.78,100.55,101.23
2022-10-10,101.82,100.57,101.25
2022-10-11,101.85,100.59,101.26
2022-10-12,101.89,100.61,101.28
2022-10-13,101.92,100.62,101.30
2022-10-14,101.96,100.64,101.32
2022-10-15,102.00,100.66,101.34
2022-10-16,102.03,100.68,101.35
2022-10-17,102.07,100.70,101.37
2022-10-18,102.10,100.71,101.39
2022-10-19,102.14,100.73,101.41
