,Indicador,Data,DataReferencia,Media,Mediana,Minimo,Maximo,numeroRespondentes
0,IPCA,2023-04-14,2/2023,1.4898,1.5226,0.6012,1.9423,62
1,IPCA,2023-04-14,3/2023,0.9842,0.9881,0.551,1.6584,62
2,IPCA,2023-04-14,4/2023,1.3336,1.3409,0.7518,1.8106,62
3,IPCA,2023-04-14,1/2024,1.3283,1.3358,0.8222,1.922,47
4,IPCA,2023-04-14,2/2024,0.9047,0.8825,0.4707,1.2855,47
5,IPCA,2023-04-14,3/2024,0.731,0.6775,0.3203,1.5075,47
6,IPCA,2023-04-14,4/2024,1.1983,1.1704,0.7519,1.913,47
7,IPCA,2023-04-14,1/2025,1.2118,1.1846,0.5007,1.77,26
8,IPCA,2023-04-14,2/2023,1.4285,1.4466,0.6012,1.9423,145
9,IPCA,2023-04-14,3/2023,0.9829,0.9933,0.2602,1.6584,145
10,IPCA,2023-04-14,4/2023,1.3639,1.3558,0.7518,2.4999,145
11,IPCA,2023-04-14,1/2024,1.3492,1.3167,0.8222,2.0777,123
12,IPCA,2023-04-14,2/2024,0.8924,0.8824,0.4306,1.3963,123
13,IPCA,2023-04-14,3/2024,0.7032,0.6775,-0.0398,1.5075,123
14,IPCA,2023-04-14,4/2024,1.2187,1.2036,0.7215,2.0672,122
15,IPCA,2023-04-14,1/2025,1.2844,1.3051,0.4481,1.9627,79
16,PIB Total,2023-04-14,1/2023,1.9032,1.9802,-0.2,3.91,36
17,PIB Total,2023-04-14,2/2023,0.8688,0.8,-0.6,2.44,34
18,PIB Total,2023-04-14,3/2023,0.3618,0.3885,-1.4,2.0,34
19,PIB Total,2023-04-14,4/2023,0.7888,0.7177,-0.793,4.2308,34
20,PIB Total,2023-04-14,1/2024,0.9494,0.9,-0.5489,2.8,22
21,PIB Total,2023-04-14,2/2024,1.1356,1.15,0.0,2.15,22
22,PIB Total,2023-04-14,3/2024,1.3323,1.497,0.23,2.3196,22
23,PIB Total,2023-04-14,4/2024,1.4767,1.5488,0.4079,2.5234,22
24,PIB Total,2023-04-14,1/2023,1.8127,1.7317,-0.2,3.91,92
25,PIB Total,2023-04-14,2/2023,0.763,0.7585,-0.6,2.44,90
26,PIB Total,2023-04-14,3/2023,0.3211,0.37,-2.2,2.0,87
27,PIB Total,2023-04-14,4/2023,0.6812,0.6805,-1.6,4.2308,87
28,PIB Total,2023-04-14,1/2024,0.825,0.9,-2.2,2.8,71
29,PIB Total,2023-04-14,2/2024,1.128,1.16,-1.8,3.0,71
30,PIB Total,2023-04-14,3/2024,1.3154,1.48,-0.9,2.3196,71
31,PIB Total,2023-04-14,4/2024,1.5136,1.6,-1.3993,4.0017,71
32,Câmbio,2023-04-14,2/2023,5.088,5.0641,4.9148,5.3405,42
33,Câmbio,2023-04-14,3/2023,5.1048,5.133,4.8,5.3631,42
34,Câmbio,2023-04-14,4/2023,5.1385,5.1581,4.8,5.4492,42
35,Câmbio,2023-04-14,1/2024,5.1605,5.2,4.6485,5.5277,38
36,Câmbio,2023-04-14,2/2024,5.1734,5.2,4.5175,5.6197,36
37,Câmbio,2023-04-14,3/2024,5.2045,5.2,4.6697,5.7782,33
38,Câmbio,2023-04-14,4/2024,5.2318,5.2099,4.5359,5.9548,32
39,Câmbio,2023-04-14,1/2025,5.1512,5.2,4.4689,5.54,19
40,Câmbio,2023-04-14,2/2023,5.1631,5.187,4.9148,5.4557,107
