,Indicador,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,Selic,2022-08-19,R5/2024,8.64,8.5,0.8203,7.0,10.5,50,1
1,Selic,2022-08-19,R5/2024,8.8014,8.75,0.9206,7.0,11.0,73,0
2,Selic,2022-08-19,R4/2024,9.0081,9.0,0.8924,7.0,11.0,62,1
3,Selic,2022-08-19,R4/2024,9.1808,9.125,0.9793,7.0,12.25,112,0
4,Selic,2022-08-19,R3/2024,9.4841,9.5,0.9106,7.5,11.5,63,1
5,Selic,2022-08-19,R3/2024,9.5905,9.5,0.9679,7.5,12.5,116,0
6,Selic,2022-08-19,R2/2024,9.9563,10.0,0.8904,8.0,12.0,63,1
7,Selic,2022-08-19,R2/2024,10.0216,10.0,0.9206,8.0,12.75,116,0
8,Selic,2022-08-19,R1/2024,10.4722,10.5,0.8854,8.5,12.5,63,1
9,Selic,2022-08-19,R1/2024,10.5,10.5,0.8898,8.5,13.0,117,0
10,Selic,2022-08-19,R8/2023,11.1318,11.0,0.9211,9.25,13.75,74,1
11,Selic,2022-08-19,R8/2023,11.1072,11.0,0.9163,9.0,13.75,133,0
12,Selic,2022-08-19,R7/2023,11.6986,11.5,0.845,10.0,13.75,73,1
13,Selic,2022-08-19,R7/2023,11.6788,11.75,0.8448,9.75,13.75,130,0
14,Selic,2022-08-19,R6/2023,12.2808,12.25,0.7948,10.25,13.75,73,1
15,Selic,2022-08-19,R6/2023,12.2673,12.25,0.8051,10.25,14.0,130,0
16,Selic,2022-08-19,R5/2023,12.8185,13.0,0.6952,11.0,14.0,73,1
17,Selic,2022-08-19,R5/2023,12.8077,13.0,0.7302,10.5,14.0,130,0
18,Selic,2022-08-19,R4/2023,13.2945,13.5,0.5798,11.5,14.25,73,1
19,Selic,2022-08-19,R4/2023,13.2885,13.5,0.6166,11.5,14.25,130,0
20,Selic,2022-08-19,R3/2023,13.6062,13.75,0.4116,12.0,14.25,73,1
21,Selic,2022-08-19,R3/2023,13.5885,13.75,0.4362,12.0,14.25,130,0
22,Selic,2022-08-19,R2/2023,13.75,13.75,0.219,12.75,14.25,73,1
23,Selic,2022-08-19,R2/2023,13.7404,13.75,0.2469,12.75,14.25,130,0
24,Selic,2022-08-19,R1/2023,13.7945,13.75,0.1331,13.25,14.25,73,1
25,Selic,2022-08-19,R1/2023,13.7885,13.75,0.1534,13.25,14.25,130,0
26,Selic,2022-08-19,R8/2022,13.81,13.75,0.1281,13.5,14.25,75,1
27,Selic,2022-08-19,R8/2022,13.8088,13.75,0.1259,13.5,14.25,136,0
28,Selic,2022-08-19,R7/2022,13.8133,13.75,0.1231,13.75,14.25,75,1
29,Selic,2022-08-19,R7/2022,13.8107,13.75,0.1231,13.5,14.25,136,0
30,Selic,2022-08-19,R6/2022,13.8067,13.75,0.1123,13.75,14.25,75,1
31,Selic,2022-08-19,R6/2022,13.807,13.75,0.1173,13.5,14.25,136,0
32,Selic,2022-08-18,R5/2024,8.4257,8.5,0.85,7.0,10.0,37,1
33,Selic,2022-08-18,R5/2024,8.7417,8.5,0.9682,7.0,11.0,60,0
34,Selic,2022-08-18,R4/2024,8.7745,9.0,0.9318,7.0,10.5,51,1
35,Selic,2022-08-18,R4/2024,9.1216,9.0,0.99,7.0,12.25,109,0
36,Selic,2022-08-18,R3/2024,9.1971,9.5,0.9486,7.5,11.0,52,1
37,Selic,2022-08-18,R3/2024,9.5265,9.5,0.975,7.5,12.5,113,0
38,Selic,2022-08-18,R2/2024,9.6827,9.75,0.9471,7.5,11.5,52,1
39,Selic,2022-08-18,R2/2024,9.9602,10.0,0.9399,7.5,12.75,113,0
40,Selic,2022-08-18,R1/2024,10.2163,10.25,0.9329,8.5,12.5,52,1
41,Selic,2022-08-18,R1/2024,10.4496,10.5,0.9021,8.5,13.0,114,0
42,Selic,2022-08-18,R8/2023,10.9449,11.0,1.0231,9.0,13.75,59,1
43,Selic,2022-08-18,R8/2023,11.0688,11.0,0.9098,9.0,13.75,129,0
44,Selic,2022-08-18,R7/2023,11.556,11.5,0.9355,10.0,13.75,58,1
45,Selic,2022-08-18,R7/2023,11.6508,11.625,0.8563,9.75,13.75,126,0
46,Selic,2022-08-18,R6/2023,12.1724,12.0,0.8774,10.5,13.75,58,1
47,Selic,2022-08-18,R6/2023,12.2361,12.25,0.8221,10.25,14.0,126,0
48,Selic,2022-08-18,R5/2023,12.7069,12.75,0.8136,10.5,14.0,58,1
49,Selic,2022-08-18,R5/2023,12.7798,13.0,0.7589,10.5,14.0,126,0
50,Selic,2022-08-18,R4/2023,13.181,13.5,0.6692,11.5,14.25,58,1
51,Selic,2022-08-18,R4/2023,13.2718,13.5,0.6401,11.5,14.25,126,0
52,Selic,2022-08-18,R3/2023,13.5172,13.75,0.4821,12.0,14.25,58,1
53,Selic,2022-08-18,R3/2023,13.5813,13.75,0.4486,12.0,14.25,126,0
54,Selic,2022-08-18,R2/2023,13.7241,13.75,0.2654,12.75,14.25,58,1
55,Selic,2022-08-18,R2/2023,13.752,13.75,0.2588,12.75,14.25,126,0
56,Selic,2022-08-18,R1/2023,13.7974,13.75,0.1428,13.25,14.25,58,1
57,Selic,2022-08-18,R1/2023,13.8016,13.75,0.1646,13.25,14.25,126,0
58,Selic,2022-08-18,R8/2022,13.8083,13.75,0.1239,13.5,14.25,60,1
59,Selic,2022-08-18,R8/2022,13.822,13.75,0.136,13.5,14.25,132,0
60,Selic,2022-08-18,R7/2022,13.8125,13.75,0.1175,13.75,14.25,60,1
61,Selic,2022-08-18,R7/2022,13.8239,13.75,0.1332,13.5,14.25,132,0
62,Selic,2022-08-18,R6/2022,13.8042,13.75,0.103,13.75,14.0,60,1
63,Selic,2022-08-18,R6/2022,13.8182,13.75,0.1234,13.5,14.25,132,0
