,data,valor
0,04/06/1986,"0,065041"
1,05/06/1986,"0,067397"
2,06/06/1986,"0,066740"
3,09/06/1986,"0,068247"
4,10/06/1986,"0,067041"
5,11/06/1986,"0,066740"
6,12/06/1986,"0,066575"
7,13/06/1986,"0,066164"
8,16/06/1986,"0,066493"
9,17/06/1986,"0,066247"
10,18/06/1986,"0,066301"
11,19/06/1986,"0,066164"
12,20/06/1986,"0,066055"
13,23/06/1986,"0,066110"
14,24/06/1986,"0,066027"
15,25/06/1986,"0,066493"
16,26/06/1986,"0,066411"
17,27/06/1986,"0,066301"
18,30/06/1986,"0,066603"
19,01/07/1986,"0,066630"
20,02/07/1986,"0,068301"
21,03/07/1986,"0,073973"
22,04/07/1986,"0,083178"
23,07/07/1986,"0,083315"
24,08/07/1986,"0,083151"
25,09/07/1986,"0,084411"
26,10/07/1986,"0,085096"
27,11/07/1986,"0,085151"
28,14/07/1986,"0,085178"
29,15/07/1986,"0,084767"
30,16/07/1986,"0,084849"
31,17/07/1986,"0,084849"
32,18/07/1986,"0,085014"
33,21/07/1986,"0,085041"
34,22/07/1986,"0,085260"
35,23/07/1986,"0,087890"
36,24/07/1986,"0,088164"
37,25/07/1986,"0,088438"
38,28/07/1986,"0,088849"
39,29/07/1986,"0,088849"
40,30/07/1986,"0,088795"
41,31/07/1986,"0,088849"
42,01/08/1986,"0,088986"
43,04/08/1986,"0,089315"
44,05/08/1986,"0,089671"
45,06/08/1986,"0,090219"
46,07/08/1986,"0,093644"
47,08/08/1986,"0,110356"
48,11/08/1986,"0,127644"
49,12/08/1986,"0,126575"
50,13/08/1986,"0,129315"
51,14/08/1986,"0,129589"
52,15/08/1986,"0,132082"
53,18/08/1986,"0,132932"
54,19/08/1986,"0,132521"
55,20/08/1986,"0,132301"
56,21/08/1986,"0,132904"
57,22/08/1986,"0,133123"
58,25/08/1986,"0,133041"
59,26/08/1986,"0,133014"
60,27/08/1986,"0,133068"
61,28/08/1986,"0,132986"
62,29/08/1986,"0,133260"
63,01/09/1986,"0,130959"
64,02/09/1986,"0,131178"
65,03/09/1986,"0,131562"
66,04/09/1986,"0,131260"
67,05/09/1986,"0,131342"
68,08/09/1986,"0,131151"
69,09/09/1986,"0,131425"
70,10/09/1986,"0,131315"
71,11/09/1986,"0,131315"
72,12/09/1986,"0,131315"
73,15/09/1986,"0,131315"
74,16/09/1986,"0,131315"
75,17/09/1986,"0,131973"
76,18/09/1986,"0,132110"
77,19/09/1986,"0,132356"
78,22/09/1986,"0,132575"
79,23/09/1986,"0,132904"
80,24/09/1986,"0,132548"
81,25/09/1986,"0,132767"
82,26/09/1986,"0,132685"
83,29/09/1986,"0,132904"
84,30/09/1986,"0,132986"
85,01/10/1986,"0,066685"
86,02/10/1986,"0,071945"
87,03/10/1986,"0,076767"
88,06/10/1986,"0,083370"
89,07/10/1986,"0,083836"
90,08/10/1986,"0,084411"
91,09/10/1986,"0,086055"
92,10/10/1986,"0,086356"
93,13/10/1986,"0,086110"
94,14/10/1986,"0,086110"
95,15/10/1986,"0,086301"
96,16/10/1986,"0,086493"
97,17/10/1986,"0,086192"
98,20/10/1986,"0,086411"
99,21/10/1986,"0,086356"
100,22/10/1986,"0,086356"
101,23/10/1986,"0,086301"
102,24/10/1986,"0,086301"
103,27/10/1986,"0,086356"
104,28/10/1986,"0,086438"
105,29/10/1986,"0,086384"
106,30/10/1986,"0,086493"
107,31/10/1986,"0,090055"
108,03/11/1986,"0,112685"
109,04/11/1986,"0,115041"
110,05/11/1986,"0,115123"
111,06/11/1986,"0,115041"
112,07/11/1986,"0,114575"
113,10/11/1986,"0,113452"
114,11/11/1986,"0,110822"
115,12/11/1986,"0,111205"
116,13/11/1986,"0,111342"
117,14/11/1986,"0,111781"
118,17/11/1986,"0,112219"
119,18/11/1986,"0,112164"
120,19/11/1986,"0,112192"
121,20/11/1986,"0,111233"
122,21/11/1986,"0,112192"
123,24/11/1986,"0,115041"
124,25/11/1986,"0,123397"
125,26/11/1986,"0,134986"
126,27/11/1986,"0,138000"
127,28/11/1986,"0,140438"
128,01/12/1986,"0,199096"
129,02/12/1986,"0,234822"
130,03/12/1986,"0,225699"
131,04/12/1986,"0,219370"
132,05/12/1986,"0,220575"
133,08/12/1986,"0,228575"
134,09/12/1986,"0,243342"
135,10/12/1986,"0,246658"
136,11/12/1986,"0,238274"
137,12/12/1986,"0,238274"
138,15/12/1986,"0,238411"
139,16/12/1986,"0,236110"
140,17/12/1986,"0,239288"
141,18/12/1986,"0,240904"
142,19/12/1986,"0,240548"
143,22/12/1986,"0,243507"
144,23/12/1986,"0,245671"
145,24/12/1986,"0,245671"
146,26/12/1986,"0,245671"
