Reuniao,Data,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo,data_reuniao,periodo,num_indice
R3/2023,2023-04-06,13.74,13.75,0.07,13.25,13.75,70,1,2023-05-03,16.00,100.57
R4/2023,2023-04-06,13.69,13.75,0.18,12.75,13.75,70,1,2023-06-21,49.00,102.32
R5/2023,2023-04-06,13.57,13.75,0.33,12.25,13.75,70,1,2023-08-02,42.00,103.85
R6/2023,2023-04-06,13.33,13.50,0.48,11.75,13.75,70,1,2023-09-20,49.00,105.66
R7/2023,2023-04-06,12.97,13.00,0.62,11.25,13.75,70,1,2023-11-01,42.00,107.21
R8/2023,2023-04-06,12.59,12.50,0.78,11.00,13.75,70,1,2023-12-13,42.00,108.73
R1/2024,2023-04-06,12.09,12.00,0.88,9.75,13.75,67,1,2024-01-31,49.00,110.46
R2/2024,2023-04-06,11.66,11.62,0.97,9.25,13.75,66,1,2024-03-20,49.00,112.16
R3/2024,2023-04-06,11.22,11.25,1.00,8.75,13.75,66,1,2024-05-08,49.00,113.82
R4/2024,2023-04-06,10.84,10.75,0.99,8.75,13.75,66,1,2024-06-26,49.00,115.47
R5/2024,2023-04-06,10.56,10.50,0.95,8.75,13.50,66,1,2024-08-14,49.00,117.06
R6/2024,2023-04-06,10.35,10.38,0.90,8.75,13.00,66,1,2024-10-09,56.00,118.87
R7/2024,2023-04-06,10.17,10.25,0.88,8.25,12.25,66,1,2024-11-27,49.00,120.45
R8/2024,2023-04-06,10.02,10.00,0.93,7.75,12.25,68,1,2024-12-15,18.00,121.03
R1/2025,2023-04-06,9.79,9.75,0.90,7.00,11.75,51,1,2025-01-31,47.00,122.53
R2/2025,2023-04-06,9.69,9.50,0.82,8.00,11.25,39,1,2025-03-20,48.00,124.04
